timestamp,current_force,target_force,force_error,force_error_dot,force_error_int,pi_output,sander_active
1760517697.9626782,-0.07229937613010406,-45.0,-44.92770004272461,3.524780035018921,-0.17973501980304718,0.20000000298023224,False
1760517706.96501,-0.8251355886459351,-45.0,-44.17486572265625,-4.35638427734375,-100.0,0.20000000298023224,False
1760517706.966082,-0.8149243593215942,-45.0,-44.18507385253906,-10.208128929138184,-100.0,0.20000000298023224,False
1760517706.967154,-0.8149243593215942,-45.0,-44.18507385253906,0.0,-100.0,0.20000000298023224,False
1760517706.968226,-0.8091046810150146,-45.0,-44.190895080566406,-5.821227550506592,-100.0,0.20000000298023224,False
1760517706.9693086,-0.8029640316963196,-45.0,-44.19703674316406,-6.141662120819092,-100.0,0.20000000298023224,False
1760517706.970388,-0.7966213226318359,-45.0,-44.20337677001953,-6.340026378631592,-100.0,0.20000000298023224,False
1760517706.9714618,-0.7902289628982544,-45.0,-44.20977020263672,-6.393432140350342,-100.0,0.20000000298023224,False
1760517706.9725363,-0.7839210033416748,-45.0,-44.21607971191406,-6.309508800506592,-100.0,0.20000000298023224,False
1760517706.9725623,-0.7777940034866333,-45.0,-44.222206115722656,-6.126403331756592,-100.0,0.20000000298023224,False
1760517706.9736364,-0.771937906742096,-45.0,-44.22806167602539,-5.855559825897217,-100.0,0.20000000298023224,False
1760517706.9747095,-0.7664212584495544,-45.0,-44.233577728271484,-5.516051769256592,-100.0,0.20000000298023224,False
1760517706.9757817,-0.7612805366516113,-45.0,-44.23871994018555,-5.142211437225342,-100.0,0.20000000298023224,False
1760517706.9768548,-0.7565308213233948,-45.0,-44.24346923828125,-4.749298095703125,-100.0,0.20000000298023224,False
1760517706.977927,-0.7521765232086182,-45.0,-44.24782180786133,-4.352569580078125,-100.0,0.20000000298023224,False
1760517706.9789996,-0.7482168078422546,-45.0,-44.25178146362305,-3.959655523300171,-100.0,0.20000000298023224,False
1760517706.9800756,-0.7446479797363281,-45.0,-44.25535202026367,-3.570556402206421,-100.0,0.20000000298023224,False
1760517706.981148,-0.7414636611938477,-45.0,-44.25853729248047,-3.185271978378296,-100.0,0.20000000298023224,False
1760517706.9822206,-0.7386164665222168,-45.0,-44.261383056640625,-2.845763921737671,-100.0,0.20000000298023224,False
1760517706.9832933,-0.7359978556632996,-45.0,-44.26400375366211,-2.620696783065796,-100.0,0.20000000298023224,False
1760517706.984366,-0.7335015535354614,-45.0,-44.26649856567383,-2.49481201171875,-100.0,0.20000000298023224,False
1760517706.9854383,-0.7310811877250671,-45.0,-44.268917083740234,-2.41851806640625,-100.0,0.20000000298023224,False
1760517706.9865103,-0.7287455201148987,-45.0,-44.27125549316406,-2.338409423828125,-100.0,0.20000000298023224,False
1760517706.9865274,-0.726517379283905,-45.0,-44.27348327636719,-2.227783203125,-100.0,0.20000000298023224,False
1760517706.9875996,-0.7244111895561218,-45.0,-44.27558898925781,-2.105712890625,-100.0,0.20000000298023224,False
1760517706.9887044,-0.722491443157196,-45.0,-44.27750778198242,-1.9187926054000854,-100.0,0.20000000298023224,False
1760517706.9897797,-0.7209065556526184,-45.0,-44.27909469604492,-1.5869139432907104,-100.0,0.20000000298023224,False
1760517706.990852,-0.7197978496551514,-45.0,-44.28020095825195,-1.10626220703125,-100.0,0.20000000298023224,False
1760517706.9919243,-0.7191675305366516,-45.0,-44.28083419799805,-0.6332396864891052,-100.0,0.20000000298023224,False
1760517706.9929974,-0.7188551425933838,-45.0,-44.28114318847656,-0.308990478515625,-100.0,0.20000000298023224,False
1760517707.0407608,-0.7186830639839172,-45.0,-44.28131866455078,-0.1754760593175888,-100.0,0.20000000298023224,False
1760517707.0412412,-0.7185847759246826,-45.0,-44.28141403198242,-0.0953674241900444,-100.0,0.20000000298023224,False
1760517707.041299,-0.7186007499694824,-45.0,-44.28139877319336,0.015258788131177425,-100.0,0.20000000298023224,False
1760517707.041347,-0.718791127204895,-45.0,-44.28120803833008,0.1907348483800888,-100.0,0.20000000298023224,False
1760517707.04141,-0.7192084193229675,-45.0,-44.280792236328125,0.4158019721508026,-100.0,0.20000000298023224,False
1760517707.0414562,-0.719919741153717,-45.0,-44.28007888793945,0.7133483290672302,-100.0,0.20000000298023224,False
1760517707.0415018,-0.7209768295288086,-45.0,-44.279022216796875,1.056671142578125,-100.0,0.20000000298023224,False
1760517707.0415452,-0.7224408388137817,-45.0,-44.277557373046875,1.4648436307907104,-100.0,0.20000000298023224,False
1760517707.0416107,-0.7244182229042053,-45.0,-44.27558135986328,1.9760130643844604,-100.0,0.20000000298023224,False
1760517707.0416532,-0.7270007133483887,-45.0,-44.27299880981445,2.582549810409546,-100.0,0.20000000298023224,False
1760517707.0416958,-0.7301886081695557,-45.0,-44.26980972290039,3.189086675643921,-100.0,0.20000000298023224,False
1760517707.0417383,-0.7338899970054626,-45.0,-44.266109466552734,3.700256109237671,-100.0,0.20000000298023224,False
1760517707.041781,-0.7380016446113586,-45.0,-44.26199722290039,4.11224365234375,-100.0,0.20000000298023224,False
1760517707.041824,-0.7424560785293579,-45.0,-44.257545471191406,4.451751708984375,-100.0,0.20000000298023224,False
1760517707.0418665,-0.7472050786018372,-45.0,-44.2527961730957,4.749298095703125,-100.0,0.20000000298023224,False
1760517707.0419095,-0.7522120475769043,-45.0,-44.24778747558594,5.008697509765625,-100.0,0.20000000298023224,False
1760517707.0419326,-0.7574321031570435,-45.0,-44.24256896972656,5.218505382537842,-100.0,0.20000000298023224,False
1760517707.0419495,-0.7627975940704346,-45.0,-44.23720169067383,5.367278575897217,-100.0,0.20000000298023224,False
1760517707.0419667,-0.7682438492774963,-45.0,-44.231754302978516,5.447387218475342,-100.0,0.20000000298023224,False
1760517707.0419838,-0.7736896276473999,-45.0,-44.22631072998047,5.443572521209717,-100.0,0.20000000298023224,False
1760517707.0420005,-0.7840983271598816,-45.0,-44.21590042114258,10.410307884216309,-100.0,0.20000000298023224,False
1760517707.0420177,-0.7889242768287659,-45.0,-44.21107482910156,4.825592041015625,-100.0,0.20000000298023224,False
1760517707.0420344,-0.7889242768287659,-45.0,-44.21107482910156,0.0,-100.0,0.20000000298023224,False
1760517707.042054,-0.7935536503791809,-45.0,-44.20644760131836,4.627227783203125,-100.0,0.20000000298023224,False
1760517707.042071,-0.7980654239654541,-45.0,-44.201934814453125,4.512786865234375,-100.0,0.20000000298023224,False
1760517707.0420887,-0.8025832772254944,-45.0,-44.197418212890625,4.5166015625,-100.0,0.20000000298023224,False
1760517707.0421057,-0.8073320388793945,-45.0,-44.19266891479492,4.749298095703125,-100.0,0.20000000298023224,False
1760517707.042123,-0.8125167489051819,-45.0,-44.18748474121094,5.184173107147217,-100.0,0.20000000298023224,False
1760517707.04214,-0.8181931972503662,-45.0,-44.18180847167969,5.676269054412842,-100.0,0.20000000298023224,False
1760517707.0421572,-0.8242668509483337,-45.0,-44.17573165893555,6.076812267303467,-100.0,0.20000000298023224,False
1760517707.042174,-0.8306107521057129,-45.0,-44.16938781738281,6.343841075897217,-100.0,0.20000000298023224,False
1760517707.0421913,-0.8371416926383972,-45.0,-44.16285705566406,6.530761241912842,-100.0,0.20000000298023224,False
1760517707.0422106,-0.8438043594360352,-45.0,-44.15619659423828,6.660460948944092,-100.0,0.20000000298023224,False
1760517707.042228,-0.8505623936653137,-45.0,-44.149436950683594,6.759643077850342,-100.0,0.20000000298023224,False
