time_s,episode,step,residual_mpa,timing_accurate,episode_done,sander_active,current_force,target_force,force_error,force_error_dot,force_error_int,pi_output
5.001907064000989,1,50,0.2,1,0,1,-30.827105,-30.0,0.82710457,1.5335082,-99.87426,0.4
5.101353207999637,1,51,0.2,1,0,1,-30.592403,-30.0,0.5924034,-3.8414,-99.797035,0.4
5.201798931000667,1,52,0.2,1,0,1,-30.453508,-30.0,0.45350838,0.16021727,-99.74181,0.4
5.302306674002466,1,53,0.2,1,0,1,-30.398714,-30.0,0.39871407,-10.957717,-99.67822,0.4
5.402223273002164,1,54,0.2,1,0,1,-30.096544,-30.0,0.096544266,-5.369186,-99.66057,0.4
5.502009967000049,1,55,0.2,1,0,1,-30.471336,-30.0,0.47133636,3.2253263,-99.6264,0.4
5.601563388001523,1,56,0.2,1,0,1,-30.210115,-30.0,0.21011543,0.36811826,-99.595634,0.4
5.701814949999971,1,57,0.2,1,0,1,-29.627588,-30.0,-0.37241173,-6.3896174,-99.58753,0.4
5.801852237000276,1,58,0.2,1,0,1,-30.188625,-30.0,0.18862534,-2.4204254,-99.58591,0.4
5.902122515999508,1,59,0.2,1,0,1,-30.39878,-30.0,0.39878082,1.3332366,-99.54982,0.4
6.001651074002439,1,60,0.2,1,0,1,-29.607569,-30.0,-0.39243126,0.1850128,-99.542076,0.4
6.101639471002272,1,61,0.2,1,0,1,-30.439623,-30.0,0.43962288,0.7286071,-99.52608,0.4
6.20278165900163,1,62,0.2,1,0,1,-30.240877,-30.0,0.24087715,2.3937225,-99.50786,0.4
6.301818528001604,1,63,0.2,1,0,1,-29.939915,-30.0,-0.060085297,0.5283356,-99.492294,0.4
6.401745744002255,1,64,0.2,1,0,1,-30.250513,-30.0,0.25051308,3.4656522,-99.46892,0.4
6.74726695100253,1,65,0.2,1,0,1,-30.610126,-30.0,0.6101265,-0.1373291,-99.411415,0.4
6.752524940002331,1,66,0.2,0,0,1,-31.336258,-30.0,1.3362579,-9.340286,-99.16647,0.4
6.75753652700223,1,67,0.15200000000000002,0,0,1,-31.25811,-30.0,1.25811,-14.978408,-99.15871,0.4
6.806098823999491,1,68,0.1999978065490723,1,0,1,-30.968157,-30.0,0.9681568,0.62561035,-99.10821,0.4
6.906398996001371,1,69,0.1519978065490723,1,0,1,-31.217993,-30.0,1.2179928,3.77655,-98.999886,0.4
7.0064080670017574,1,70,0.19993063211441042,1,0,1,-31.09759,-30.0,1.0975895,-6.282806,-98.87169,0.4
7.107867057999101,1,71,0.15193063211441044,1,0,1,-31.16227,-30.0,1.1622696,5.8040614,-98.75954,0.3721404
7.2079375899993465,1,72,0.10393063211441043,1,0,1,-31.038067,-30.0,1.0380669,-6.3285823,-98.6461,0.4
7.307098219000181,1,73,0.055930632114410433,1,0,1,-30.808067,-30.0,0.8080673,-1.4381407,-98.558975,0.3725571
7.40712572800112,1,74,0.007930632114410432,1,0,1,-30.737883,-30.0,0.7378826,-8.392334,-98.480255,0.32406047
7.506177683000715,1,75,0.055930632114410433,1,0,1,-30.219349,-30.0,0.21934891,15.068053,-98.45002,0.28080854
7.607626618002541,1,76,0.10393063211441043,1,0,1,-30.826992,-30.0,0.82699203,-13.299941,-98.37014,0.22527714
7.706518495000637,1,77,0.15193063211441044,1,0,1,-30.850504,-30.0,0.8505039,-0.8106231,-98.31129,0.27098635
7.808338989001641,1,78,0.19890663623809815,1,0,1,-30.359428,-30.0,0.3594284,-4.79126,-98.26617,0.32411426
7.907164656000532,1,79,0.2,1,0,1,-30.749592,-30.0,0.7495918,0.48255917,-98.224976,0.36657006
8.00775509199957,1,80,0.1998566746711731,1,0,1,-30.486452,-30.0,0.4864521,-3.0632017,-98.159676,0.4
8.106536340001185,1,81,0.19999991655349733,1,0,1,-30.529446,-30.0,0.52944565,12.584685,-98.117256,0.4
8.20692088099895,1,82,0.15199991655349732,1,0,1,-30.880157,-30.0,0.8801575,4.2877197,-98.03554,0.4
8.30876568000167,1,83,0.19998745918273927,1,0,1,-30.646816,-30.0,0.64681625,-5.664825,-97.95581,0.4
8.407355002000259,1,84,0.1987290382385254,1,0,1,-30.49126,-30.0,0.49126053,-4.333496,-97.90259,0.3643693
8.508128145000228,1,85,0.18910362720489504,1,0,1,-31.079102,-30.0,1.0791016,-1.7967223,-97.81594,0.4
8.606891233001079,1,86,0.19900395870208742,1,0,1,-32.02518,-30.0,2.0251808,15.098571,-97.65977,0.38863185
8.706967910999083,1,87,0.15100395870208744,1,0,1,-32.282913,-30.0,2.2829132,-0.9117126,-97.444664,0.37238356
8.807661992999783,1,88,0.14471423625946045,1,0,1,-32.170193,-30.0,2.1701927,2.6359556,-97.22183,0.37978414
8.907918025000981,1,89,0.09671423625946045,1,0,1,-32.358948,-30.0,2.3589478,11.497497,-97.00271,0.3249712
9.008883094000339,1,90,0.14471423625946045,1,0,1,-31.990763,-30.0,1.9907627,-18.25142,-96.761154,0.3197812
9.10933636000118,1,91,0.09671423625946045,1,0,1,-31.89898,-30.0,1.8989792,-1.390457,-96.582375,0.26854983
9.207523111999762,1,92,0.04871423625946045,1,0,1,-31.914244,-30.0,1.9142437,5.140304,-96.39572,0.3130071
9.306868404000852,1,93,0.0007142362594604462,1,0,1,-31.76033,-30.0,1.7603302,3.2253263,-96.20201,0.26346928
9.40695150800093,1,94,0.047596549987792974,1,0,1,-31.406494,-30.0,1.4064941,-3.885269,-96.03963,0.21653438
9.507862938000471,1,95,-0.0004034500122070267,1,0,1,-31.485388,-30.0,1.4853878,-5.010605,-95.89596,0.16490313
9.607658012002503,1,96,-0.04840345001220703,1,0,1,-31.12316,-30.0,1.1231594,-6.0672755,-95.76573,0.2135875
9.707485214999906,1,97,-0.09640345001220703,1,0,1,-30.977047,-30.0,0.97704697,1.8997191,-95.6664,0.16512197
9.806960132998938,1,98,-0.14440345001220703,1,0,1,-30.777113,-30.0,0.77711296,-0.3185272,-95.578575,0.11798209
9.905557277001208,1,99,-0.09640345001220703,1,0,1,-30.458494,-30.0,0.4584942,2.7503965,-95.51942,0.07241774
10.00724116100173,1,100,-0.14440345001220703,1,0,1,-30.159466,-30.0,0.15946579,-7.032394,-95.47839,0.027308907
10.106461854000372,1,101,-0.09640345001220703,1,0,1,-29.676737,-30.0,-0.32326317,-7.0743556,-95.48758,0.08083006
10.207692044001305,1,102,-0.04840345001220703,1,0,1,-30.033972,-30.0,0.033971786,8.796692,-95.518074,0.028559364
10.309058006001578,1,103,-0.0004034500122070267,1,0,1,-29.451218,-30.0,-0.54878235,-9.641647,-95.52486,0.0844646
10.407492836999154,1,104,-0.04840345001220703,1,0,1,-29.750347,-30.0,-0.24965286,11.356353,-95.59577,0.12893637
10.50657664100072,1,105,-0.0004034500122070267,1,0,1,-30.356047,-30.0,0.35604668,1.9397734,-95.586044,0.1703635
10.607519081000646,1,106,-0.04840345001220703,1,0,1,-30.798267,-30.0,0.79826736,3.9253232,-95.535515,0.116326354
10.706983383999614,1,107,-0.0004034500122070267,1,0,1,-30.817385,-30.0,0.8173847,-0.9479522,-95.44687,0.16307235
10.807120404999296,1,108,-0.04840345001220703,1,0,1,-31.300713,-30.0,1.3007126,7.152557,-95.35348,0.10717194
10.908028762001777,1,109,-0.0004034500122070267,1,0,1,-30.981316,-30.0,0.9813156,-6.1283107,-95.22649,0.1575265
11.0073282379999,1,110,0.047596549987792974,1,0,1,-31.171774,-30.0,1.1717739,3.4217832,-95.1328,0.10481485
11.10761444200034,1,111,-0.0004034500122070267,1,0,1,-31.039534,-30.0,1.0395336,-13.080596,-95.007744,0.15289184
11.210955259000912,1,112,-0.04840345001220703,1,0,1,-31.121576,-30.0,1.1215763,12.7334585,-94.92782,0.19727029
11.30883917599931,1,113,-0.09640345001220703,1,0,1,-31.48819,-30.0,1.4881897,3.442764,-94.79231,0.14322172
11.407621820002532,1,114,-0.14440345001220703,1,0,1,-31.234678,-30.0,1.2346783,-5.971908,-94.65109,0.095910415
11.506358927999827,1,115,-0.09640345001220703,1,0,1,-31.170681,-30.0,1.170681,2.7160642,-94.53694,0.046089638
11.607977997999114,1,116,-0.14440345001220703,1,0,1,-30.57639,-30.0,0.5763893,-13.353347,-94.44415,0.0037540167
11.706769862001238,1,117,-0.09640345001220703,1,0,1,-29.545238,-30.0,-0.4547615,-13.011931,-94.43444,0.06361756
11.806817485001375,1,118,-0.14440345001220703,1,0,1,-30.206535,-30.0,0.20653534,15.636443,-94.48135,0.007006092
11.906284303000575,1,119,-0.19240345001220704,1,0,1,-29.500093,-30.0,-0.49990654,-15.541076,-94.465126,0.064900175
12.006970842001465,1,120,-0.14440345001220706,1,0,1,-29.66937,-30.0,-0.33062935,19.334793,-94.54497,0.014134863
12.106216958000005,1,121,-0.19240345001220704,1,0,1,-29.261375,-30.0,-0.7386246,-9.851456,-94.574684,0.0
12.206414603002486,1,122,-0.2,1,0,1,-28.450182,-30.0,-1.549818,-7.7304835,-94.69847,0.032066423
12.307692285001394,1,123,-0.15200000000000002,1,0,1,-28.800303,-30.0,-1.1996975,25.52986,-94.87837,0.0
12.407725940000091,1,124,-0.2,1,0,1,-28.859142,-30.0,-1.1408577,-29.352186,-94.95362,0.0
12.506950266000786,1,125,-0.15200000000000002,1,0,1,-27.541286,-30.0,-2.4587135,-7.6198573,-95.15294,0.04323171
12.606998449002276,1,126,-0.10400000000000002,1,0,1,-29.966644,-30.0,-0.033355713,37.651062,-95.33616,0.0
12.706523094999284,1,127,-0.05600000000000002,1,0,1,-28.950577,-30.0,-1.0494232,-36.439896,-95.33088,0.0322668
12.806972451002366,1,128,-0.10400000000000002,1,0,1,-28.095259,-30.0,-1.9047413,15.138625,-95.53476,0.090660885
12.907244687001366,1,129,-0.05600000000000002,1,0,1,-30.014385,-30.0,0.014385223,8.623123,-95.6225,0.11882315
13.00763397800256,1,130,-0.012034926563501358,1,0,1,-30.550877,-30.0,0.5508766,10.137557,-95.5987,0.06450917
13.10680913500255,1,131,-0.06003492656350136,1,0,1,-30.303036,-30.0,0.30303574,-11.993407,-95.53669,0.11549554
13.206165323001187,1,132,-0.10803492656350136,1,0,1,-30.572708,-30.0,0.57270813,8.876801,-95.52918,0.15486586
13.306053427000734,1,133,-0.1416454315185547,1,0,1,-31.270247,-30.0,1.2702465,-1.2340546,-95.41909,0.09770139
13.40791638600058,1,134,-0.09364543151855469,1,0,1,-31.002,-30.0,1.0020008,-0.4329681,-95.30909,0.050660715
13.506805749002524,1,135,-0.045645431518554686,1,0,1,-30.205696,-30.0,0.2056961,-16.651154,-95.23963,0.025469912
13.607005908001156,1,136,0.0023545684814453155,1,0,1,-29.432413,-30.0,-0.5675869,-10.211944,-95.25105,0.08253146
13.70645903699915,1,137,0.050354568481445316,1,0,1,-30.200516,-30.0,0.20051575,7.1353908,-95.28611,0.12126323
13.807989267999801,1,138,0.09835456848144532,1,0,1,-30.581678,-30.0,0.5816784,0.6427764,-95.2339,0.16449441
13.906790072000149,1,139,0.050354568481445316,1,0,1,-31.063137,-30.0,1.063137,9.384155,-95.16115,0.20515488
14.008488481998938,1,140,0.09835456848144532,1,0,1,-31.033789,-30.0,1.0337887,0.28038025,-95.05527,0.2518617
14.107459980001295,1,141,0.050354568481445316,1,0,1,-31.539509,-30.0,1.5395088,-0.9899139,-94.926796,0.19577277
14.207215664002433,1,142,0.0023545684814453155,1,0,1,-31.499819,-30.0,1.4998188,-1.1348724,-94.77078,0.24182855
14.305986016999668,1,143,0.050354568481445316,1,0,1,-31.86979,-30.0,1.8697891,16.20102,-94.609886,0.18574226
14.406080296001164,1,144,0.09835456848144532,1,0,1,-32.035786,-30.0,2.0357857,-0.3890991,-94.399445,0.13268623
14.507002342001215,1,145,0.050354568481445316,1,0,1,-32.58452,-30.0,2.5845184,2.6473997,-94.166756,0.17000179
14.606643486000394,1,146,0.09835456848144532,1,0,1,-32.89033,-30.0,2.8903313,2.7389524,-93.89282,0.2094499
14.706814590001159,1,147,0.14635456848144532,1,0,1,-32.845116,-30.0,2.8451157,-1.800537,-93.60112,0.15696228
14.806645144999493,1,148,0.09835456848144532,1,0,1,-33.253956,-30.0,3.2539558,-7.289886,-93.294395,0.19465259
14.90683105700009,1,149,0.14635456848144532,1,0,1,-32.902615,-30.0,2.9026146,-3.9520261,-92.986046,0.24112573
15.00693315800163,1,150,0.09835456848144532,1,0,1,-32.86071,-30.0,2.8607101,-5.7334895,-92.69568,0.18811248
15.106541056000424,1,151,0.050354568481445316,1,0,1,-32.817,-30.0,2.8170013,0.5187988,-92.41823,0.2313324
15.206930906002526,1,152,0.0023545684814453155,1,0,1,-32.922276,-30.0,2.9222755,-2.933502,-92.1368,0.17674609
15.306565623999631,1,153,0.050354568481445316,1,0,1,-32.421646,-30.0,2.421646,4.562378,-91.86994,0.13006999
