time_s,episode,step,success,residual_mpa,timing_accurate,episode_done,timestamp
8.80761617600001,1,88,1,0.14471423625946045,1,0,18:36:58.742
8.907879472000786,1,89,1,0.09671423625946045,1,0,18:36:58.843
9.008826381999825,1,90,1,0.14471423625946045,1,0,18:36:58.944
9.10928104499908,1,91,1,0.09671423625946045,1,0,18:36:59.044
9.207482604000688,1,92,1,0.04871423625946045,1,0,18:36:59.142
9.30683180699998,1,93,1,0.0007142362594604462,1,0,18:36:59.242
9.40691407200211,1,94,1,0.047596549987792974,1,0,18:36:59.342
9.507800917999703,1,95,1,-0.0004034500122070267,1,0,18:36:59.443
9.607617783000023,1,96,1,-0.04840345001220703,1,0,18:36:59.542
9.707447779001086,1,97,1,-0.09640345001220703,1,0,18:36:59.642
9.806921580999187,1,98,1,-0.14440345001220703,1,0,18:36:59.742
9.905524591002177,1,99,1,-0.09640345001220703,1,0,18:36:59.840
10.00717103900024,1,100,1,-0.14440345001220703,1,0,18:36:59.942
10.106421905002207,1,101,1,-0.09640345001220703,1,0,18:37:00.041
10.207634214999416,1,102,1,-0.04840345001220703,1,0,18:37:00.142
10.308999618002417,1,103,1,-0.0004034500122070267,1,0,18:37:00.244
10.407450373000756,1,104,1,-0.04840345001220703,1,0,18:37:00.342
10.506516576002468,1,105,1,-0.0004034500122070267,1,0,18:37:00.441
10.607471309001994,1,106,1,-0.04840345001220703,1,0,18:37:00.542
10.706942036998953,1,107,1,-0.0004034500122070267,1,0,18:37:00.642
10.807075706001342,1,108,1,-0.04840345001220703,1,0,18:37:00.742
10.907979035000608,1,109,1,-0.0004034500122070267,1,0,18:37:00.843
11.0072888470022,1,110,1,0.047596549987792974,1,0,18:37:00.942
11.107540689001326,1,111,1,-0.0004034500122070267,1,0,18:37:01.042
11.210900501999276,1,112,1,-0.04840345001220703,1,0,18:37:01.146
11.308710666002298,1,113,1,-0.09640345001220703,1,0,18:37:01.244
11.407579915001406,1,114,1,-0.14440345001220703,1,0,18:37:01.342
11.506313670000964,1,115,1,-0.09640345001220703,1,0,18:37:01.441
11.60793525400004,1,116,1,-0.14440345001220703,1,0,18:37:01.543
11.706733823000832,1,117,1,-0.09640345001220703,1,0,18:37:01.642
11.806781167000736,1,118,1,-0.14440345001220703,1,0,18:37:01.742
11.906247425999027,1,119,1,-0.19240345001220704,1,0,18:37:01.841
12.006934803001059,1,120,1,-0.14440345001220706,1,0,18:37:01.942
12.106180920000043,1,121,1,-0.19240345001220704,1,0,18:37:02.041
12.206375770001614,1,122,1,-0.2,1,0,18:37:02.141
12.307622722000815,1,123,1,-0.15200000000000002,1,0,18:37:02.242
12.40768682899943,1,124,1,-0.2,1,0,18:37:02.342
12.506907802002388,1,125,1,-0.15200000000000002,1,0,18:37:02.442
12.606962968999142,1,126,1,-0.10400000000000002,1,0,18:37:02.542
12.706488733001606,1,127,1,-0.05600000000000002,1,0,18:37:02.641
12.806935014999908,1,128,1,-0.10400000000000002,1,0,18:37:02.742
12.907201943002292,1,129,1,-0.05600000000000002,1,0,18:37:02.842
13.007588440999825,1,130,1,-0.012034926563501358,1,0,18:37:02.942
13.106768626999838,1,131,1,-0.06003492656350136,1,0,18:37:03.042
13.206131240000104,1,132,1,-0.10803492656350136,1,0,18:37:03.141
13.306017668001004,1,133,1,-0.1416454315185547,1,0,18:37:03.241
13.407871408002393,1,134,1,-0.09364543151855469,1,0,18:37:03.343
13.50676468200254,1,135,1,-0.045645431518554686,1,0,18:37:03.442
13.606960929999332,1,136,1,0.0023545684814453155,1,0,18:37:03.542
13.706417411001894,1,137,1,0.050354568481445316,1,0,18:37:03.641
13.80795267099893,1,138,1,0.09835456848144532,1,0,18:37:03.743
13.906744814001286,1,139,1,0.050354568481445316,1,0,18:37:03.842
14.008448253000097,1,140,1,0.09835456848144532,1,0,18:37:03.943
14.107420588999958,1,141,1,0.050354568481445316,1,0,18:37:04.042
14.207173480001074,1,142,1,0.0023545684814453155,1,0,18:37:04.142
14.305953052000405,1,143,1,0.050354568481445316,1,0,18:37:04.241
14.406040904999827,1,144,1,0.09835456848144532,1,0,18:37:04.341
14.5069679799999,1,145,1,0.050354568481445316,1,0,18:37:04.442
14.60660772600022,1,146,1,0.09835456848144532,1,0,18:37:04.541
14.706781066000985,1,147,1,0.14635456848144532,1,0,18:37:04.642
14.806613297001604,1,148,1,0.09835456848144532,1,0,18:37:04.741
14.90679362100127,1,149,1,0.14635456848144532,1,0,18:37:04.842
15.006896001999849,1,150,1,0.09835456848144532,1,0,18:37:04.942
15.106504737999785,1,151,1,0.050354568481445316,1,0,18:37:05.041
15.206895985000301,1,152,1,0.0023545684814453155,1,0,18:37:05.142
15.306524837000325,1,153,1,0.050354568481445316,1,0,18:37:05.241
15.407460013000673,1,154,1,0.09835456848144532,1,0,18:37:05.342
15.506481239001005,1,155,1,0.050354568481445316,1,0,18:37:05.441
15.60786340499908,1,156,1,0.09835456848144532,1,0,18:37:05.543
15.706566988999839,1,157,1,0.14635456848144532,1,0,18:37:05.641
15.806387207001535,1,158,1,0.19435456848144533,1,0,18:37:05.741
15.907626895001158,1,159,1,0.14635456848144535,1,0,18:37:05.842
16.00725574700118,1,160,1,0.09835456848144535,1,0,18:37:05.942
16.107003050001367,1,161,1,0.050354568481445344,1,0,18:37:06.042
16.20755214000019,1,162,1,0.0023545684814453433,1,0,18:37:06.142
16.307874663001712,1,163,1,0.050354568481445344,1,0,18:37:06.243
16.407333938001102,1,164,1,0.0023545684814453433,1,0,18:37:06.342
16.506395671000064,1,165,1,-0.04564543151855466,1,0,18:37:06.441
16.608589122999547,1,166,1,-0.09364543151855466,1,0,18:37:06.543
16.707689967999613,1,167,1,-0.04564543151855466,1,0,18:37:06.642
16.807503481999447,1,168,1,0.0023545684814453433,1,0,18:37:06.742
16.90664790899973,1,169,1,0.050354568481445344,1,0,18:37:06.841
17.007544533000328,1,170,1,0.0023545684814453433,1,0,18:37:06.942
17.106248676001997,1,171,1,-0.04564543151855466,1,0,18:37:07.041
17.206611427001917,1,172,1,-0.07587773799896241,1,0,18:37:07.141
17.306138309002563,1,173,1,-0.027877737998962412,1,0,18:37:07.241
17.406320868001785,1,174,1,0.02012226200103759,1,0,18:37:07.341
17.50627350799914,1,175,1,0.06812226200103759,1,0,18:37:07.441
17.60695753300024,1,176,1,0.02012226200103759,1,0,18:37:07.542
17.706535260000237,1,177,1,0.06812226200103759,1,0,18:37:07.641
17.806109913999535,1,178,1,0.02012226200103759,1,0,18:37:07.741
17.906410366002092,1,179,1,0.06812226200103759,1,0,18:37:07.841
18.007786665999447,1,180,1,0.11612226200103759,1,0,18:37:07.943
18.106436890000623,1,181,1,0.16412226200103758,1,0,18:37:08.041
18.206753546000982,1,182,1,0.11612226200103758,1,0,18:37:08.142
18.306438270999934,1,183,1,0.16412226200103758,1,0,18:37:08.241
18.406887907000055,1,184,1,0.11612226200103758,1,0,18:37:08.342
18.507179140000517,1,185,1,0.16412226200103758,1,0,18:37:08.442
18.607462272000703,1,186,1,0.1999864220619202,1,0,18:37:08.542
18.70774121300201,1,187,1,0.2,1,0,18:37:08.643
18.807594396999775,1,188,1,0.19999990463256836,1,0,18:37:08.742
18.90662651800085,1,189,1,0.15199990463256835,1,0,18:37:08.841
19.00679203600157,1,190,1,0.10399990463256835,1,0,18:37:08.942
19.10787583700221,1,191,1,0.05599990463256835,1,0,18:37:09.043
19.20742143700045,1,192,1,0.10399990463256835,1,0,18:37:09.142
19.307269313001598,1,193,1,0.05599990463256835,1,0,18:37:09.242
19.40701801400064,1,194,1,0.007999904632568347,1,0,18:37:09.342
19.507176548002462,1,195,1,-0.040000095367431654,1,0,18:37:09.442
19.606766008000704,1,196,1,0.007999904632568347,1,0,18:37:09.542
19.706048164000094,1,197,1,0.05599990463256835,1,0,18:37:09.641
19.807052345000557,1,198,1,0.10399990463256835,1,0,18:37:09.742
19.906056808998983,1,199,1,0.15199990463256835,1,0,18:37:09.841
20.006941141000425,1,200,1,0.19999990463256834,1,0,18:37:09.942
20.10671889600053,1,201,1,0.15199990463256835,1,0,18:37:10.041
20.205537300000287,1,202,1,0.10399990463256835,1,0,18:37:10.140
20.3062481449997,1,203,1,0.15199990463256835,1,0,18:37:10.241
20.406785223000043,1,204,1,0.10399990463256835,1,0,18:37:10.342
20.506974207000894,1,205,1,0.15199990463256835,1,0,18:37:10.442
20.60690561500087,1,206,1,0.17947325706481934,1,0,18:37:10.542
20.706021267000324,1,207,1,0.13147325706481933,1,0,18:37:10.641
20.806923758002085,1,208,1,0.08347325706481933,1,0,18:37:10.742
20.907191525002418,1,209,1,0.13147325706481933,1,0,18:37:10.842
21.007032138000795,1,210,1,0.1794732570648193,1,0,18:37:10.942
21.106963545000326,1,211,1,0.1999998688697815,1,0,18:37:11.042
21.2072391340007,1,212,1,0.1519998688697815,1,0,18:37:11.142
21.30742588400244,1,213,1,0.19999319314956665,1,0,18:37:11.242
21.407170115002373,1,214,1,0.19999992847442627,1,0,18:37:11.342
21.506778294002288,1,215,1,0.19969670772552492,1,0,18:37:11.442
21.60783192300005,1,216,1,0.2,1,0,18:37:11.543
21.70678079299978,1,217,1,0.15200000000000002,1,0,18:37:11.642
21.807212548999814,1,218,1,0.10400000000000002,1,0,18:37:11.742
21.907272465999995,1,219,1,0.05600000000000002,1,0,18:37:11.842
22.00625066900102,1,220,1,0.10400000000000002,1,0,18:37:11.941
22.107267701001547,1,221,1,0.15200000000000002,1,0,18:37:12.042
22.206015425999794,1,222,1,0.19707484245300294,1,0,18:37:12.141
22.30707883300056,1,223,1,0.1999999523162842,1,0,18:37:12.242
22.40771620400119,1,224,1,0.2,1,0,18:37:12.342
22.507597046002047,1,225,1,0.2,1,0,18:37:12.442
22.60735887700139,1,226,1,0.19998068809509278,1,0,18:37:12.542
22.706643268000335,1,227,1,0.19998770952224731,1,0,18:37:12.641
22.807534305000445,1,228,1,0.15198770952224733,1,0,18:37:12.742
22.90646222199939,1,229,1,0.10398770952224733,1,0,18:37:12.841
23.00727531600205,1,230,1,0.055987709522247325,1,0,18:37:12.942
23.106777335000515,1,231,1,0.007987709522247324,1,0,18:37:13.042
23.207628143001784,1,232,1,0.055987709522247325,1,0,18:37:13.142
23.306625902001542,1,233,1,0.03385175466537476,1,0,18:37:13.241
23.408172336999996,1,234,1,-0.014148245334625241,1,0,18:37:13.343
23.5066934940005,1,235,1,0.03385175466537476,1,0,18:37:13.441
23.60812902100224,1,236,1,0.07190721035003662,1,0,18:37:13.543
23.707694455999444,1,237,1,0.023907210350036623,1,0,18:37:13.642
23.8073889590014,1,238,1,-0.024092789649963378,1,0,18:37:13.742
23.90763689099913,1,239,1,0.023907210350036623,1,0,18:37:13.842
24.007483928999136,1,240,1,0.07190721035003662,1,0,18:37:13.942
24.106738987000426,1,241,1,0.11990721035003662,1,0,18:37:14.042
24.207862737999676,1,242,1,0.07190721035003662,1,0,18:37:14.143
24.306787861001794,1,243,1,0.11990721035003662,1,0,18:37:14.242
24.40678855200167,1,244,1,0.07190721035003662,1,0,18:37:14.342
24.506598714000575,1,245,1,0.023907210350036623,1,0,18:37:14.441
24.60595518199989,1,246,1,-0.024092789649963378,1,0,18:37:14.541
24.70664395700078,1,247,1,0.023907210350036623,1,0,18:37:14.641
24.806230903999676,1,248,1,0.07190721035003662,1,0,18:37:14.741
24.90688224400219,1,249,1,0.11990721035003662,1,0,18:37:14.842
25.006365265002387,1,250,1,0.07190721035003662,1,0,18:37:14.941
25.106937823002227,1,251,1,0.11990721035003662,1,0,18:37:15.042
25.207533847999002,1,252,1,0.07190721035003662,1,0,18:37:15.142
25.307388708999497,1,253,1,0.023907210350036623,1,0,18:37:15.242
25.407364816001063,1,254,1,-0.024092789649963378,1,0,18:37:15.342
25.507980116999533,1,255,1,0.023907210350036623,1,0,18:37:15.443
25.607405030001246,1,256,1,0.07190721035003662,1,0,18:37:15.542
25.7074453919995,1,257,1,0.11990721035003662,1,0,18:37:15.642
25.807007753999642,1,258,1,0.07190721035003662,1,0,18:37:15.742
25.908040152000467,1,259,1,0.11990721035003662,1,0,18:37:15.843
26.00648336499944,1,260,1,0.07190721035003662,1,0,18:37:15.941
26.107571636999637,1,261,1,0.11990721035003662,1,0,18:37:16.042
26.207965958001296,1,262,1,0.07190721035003662,1,0,18:37:16.143
26.30833597400124,1,263,1,0.023907210350036623,1,0,18:37:16.243
26.406783656999323,1,264,1,0.07190721035003662,1,0,18:37:16.342
26.508296569001686,1,265,1,0.023907210350036623,1,0,18:37:16.443
26.607485135999013,1,266,1,-0.024092789649963378,1,0,18:37:16.542
26.706417244000477,1,267,1,0.023907210350036623,1,0,18:37:16.641
26.807031707001443,1,268,1,-0.024092789649963378,1,0,18:37:16.742
26.90598784100075,1,269,1,-0.07209278964996338,1,0,18:37:16.841
27.005746598999394,1,270,1,-0.12009278964996338,1,0,18:37:16.941
27.106579808001698,1,271,1,-0.16809278964996338,1,0,18:37:17.041
27.207078333001846,1,272,1,-0.12009278964996338,1,0,18:37:17.142
27.306050949002383,1,273,1,-0.07209278964996338,1,0,18:37:17.241
27.406574618002196,1,274,1,-0.12009278964996338,1,0,18:37:17.341
27.506827578999946,1,275,1,-0.16809278964996338,1,0,18:37:17.442
27.606113367000944,1,276,1,-0.19952369928359986,1,0,18:37:17.541
27.705893078000372,1,277,1,-0.19999978542327881,1,0,18:37:17.641
27.80742722099967,1,278,1,-0.19999998807907104,1,0,18:37:17.742
27.906056773001183,1,279,1,-0.15199998807907106,1,0,18:37:17.841
28.00679276200026,1,280,1,-0.10399998807907106,1,0,18:37:17.942
28.107058853001945,1,281,1,-0.09931002259254457,1,0,18:37:18.042
28.20743445699918,1,282,1,-0.14731002259254455,1,0,18:37:18.142
28.307199081998988,1,283,1,-0.09931002259254455,1,0,18:37:18.242
28.406590192000294,1,284,1,-0.05131002259254455,1,0,18:37:18.341
28.507468099000107,1,285,1,-0.003310022592544551,1,0,18:37:18.442
28.607465996999963,1,286,1,-0.05131002259254455,1,0,18:37:18.542
28.708079063002515,1,287,1,-0.09931002259254455,1,0,18:37:18.643
28.808252684000763,1,288,1,-0.05131002259254455,1,0,18:37:18.743
28.908235496000998,1,289,1,-0.09931002259254455,1,0,18:37:18.843
29.00744892700095,1,290,1,-0.05131002259254455,1,0,18:37:18.942
29.107560528002068,1,291,1,-0.003310022592544551,1,0,18:37:19.042
29.208437039000273,1,292,1,0.04468997740745545,1,0,18:37:19.143
29.306954284998938,1,293,1,0.09268997740745545,1,0,18:37:19.242
29.407566793001024,1,294,1,0.04468997740745545,1,0,18:37:19.342
29.507743766000203,1,295,1,-0.003310022592544551,1,0,18:37:19.443
29.606802706999588,1,296,1,0.04468997740745545,1,0,18:37:19.542
29.707839016002254,1,297,1,-0.003310022592544551,1,0,18:37:19.643
29.80590312700224,1,298,1,0.04468997740745545,1,0,18:37:19.741
29.906247442002496,1,299,1,0.09268997740745545,1,0,18:37:19.841
30.006949067999813,1,300,1,0.0,1,1,18:37:19.942
30.00711529199907,1,1000,1,0.0,1,1,18:37:19.942
30.19975616100055,1,2000,1,0.0,1,0,18:37:20.135
