time_s,episode,attempt,sof_hex,residual,timing_accurate,episode_done,checksum_hex,packet_bytes,packet_size,timestamp
93.80531468499976,3,50,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.275
93.81559005999952,3,51,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.285
93.8257718470013,3,52,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.295
93.83591228799924,3,53,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.305
93.84604798000146,3,54,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.315
93.8561836709996,3,55,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.325
93.86631517299975,3,56,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.336
93.87645002600038,3,57,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.346
93.88657621899983,3,58,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.356
93.89673593599946,3,59,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.366
93.9069129740019,3,60,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.376
93.91708442500021,3,61,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.386
93.92731677700067,3,62,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.397
93.93756393600052,3,63,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.407
93.94775605999894,3,64,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.417
93.95794427200235,3,65,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.427
93.96822802799943,3,66,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.437
93.97854838100102,3,67,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.448
