time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
5.4889,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.025873,-0.00752394,-0.146517,0.00358356,0.0039177,0.000745265,-2.4e-12,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
7.5786,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.036668,-0.017193,-0.182233,0.00394351,0.00470514,-7.4228e-06,-3.82489e-05,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
8.4406,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0403794,-0.0210953,-0.187974,0.00401117,0.00484341,-0.000327965,-7.87289e-05,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
9.5908,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.04197,-0.0229455,-0.188505,0.00402159,0.00486554,-0.000490375,-9.93477e-05,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
10.6294,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.043392,-0.02473,-0.187565,0.0040173,0.00485812,-0.000653921,-0.000130932,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
11.3072,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0446513,-0.0264497,-0.185219,0.00399893,0.00482243,-0.000818395,-0.000163412,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
11.9164,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0457538,-0.028106,-0.18153,0.00396711,0.00475972,-0.000983599,-0.00018647,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
12.5002,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0467052,-0.0296999,-0.176561,0.00392247,0.00467125,-0.00114934,-0.000210982,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
13.0924,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0467052,-0.0296999,-0.176561,0.00392247,0.00467125,-0.00114934,-0.000230683,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
13.6962,-253.709,366.796,420.21,88.5943,-179.811,-90.0112,-0.0475112,-0.0312327,-0.17037,0.00386559,0.00455821,-0.00131544,-0.000254754,0,0.2,5,0,0,0.200635,5.01588,0.00073819,0.0123032,0,0,0
