time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
42.7274,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.00680244,-0.0566187,0.141648,-0.000363854,0.00096703,-0.00125528,-0.00277576,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
44.2865,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.00418538,-0.053361,0.142904,-0.000244511,0.000792435,-0.00103848,-0.00297223,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
45.2529,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.00276001,-0.051765,0.14422,-0.00019476,0.000667174,-0.000942463,-0.00318218,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
46.1326,-253.741,366.683,443.262,70.0619,-179.878,-108.534,-0.00126304,-0.0501917,0.145967,-0.000151307,0.000518217,-0.000854342,-0.00332368,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
46.9928,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.000300972,-0.0486416,0.148125,-0.000113919,0.000346737,-0.000773863,-0.00345323,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
48.0597,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0019276,-0.0471152,0.150673,-8.23704e-05,0.00015388,-0.000700772,-0.00358339,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
48.8487,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.00361243,-0.0456081,0.153527,-5.50516e-05,-5.53558e-05,-0.000633849,-0.00376215,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
49.5477,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.00535105,-0.0441111,0.156541,-2.90357e-05,-0.000272289,-0.000570953,-0.00387346,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
50.3449,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.00535105,-0.0441111,0.156541,-2.90357e-05,-0.000272289,-0.000570953,-0.00398602,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
51.1158,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.00713932,-0.0426203,0.15964,-2.90605e-06,-0.000492492,-0.000511003,-0.00411469,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
51.8446,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.00897336,-0.041137,0.162817,2.33072e-05,-0.000715609,-0.000453927,-0.0042417,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
52.6559,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0108494,-0.0396621,0.166065,4.9575e-05,-0.000941298,-0.000399656,-0.00436881,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
53.2171,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0108494,-0.0396621,0.166065,4.9575e-05,-0.000941298,-0.000399656,-0.00450256,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
54.0748,-253.741,366.682,443.263,70.019,-179.878,-108.577,0.0127638,-0.0381968,0.169378,7.58696e-05,-0.00116923,-0.00034812,-0.00459904,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
54.8845,-253.741,366.682,443.263,70.019,-179.878,-108.577,0.0147131,-0.036742,0.172751,0.000102165,-0.00139909,-0.00029925,-0.00474778,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
55.6303,-253.741,366.682,443.263,70.019,-179.878,-108.577,0.0166938,-0.0352988,0.176177,0.000128434,-0.00163057,-0.000252978,-0.00489126,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
56.4318,-253.741,366.682,443.263,70.019,-179.878,-108.577,0.0166938,-0.0352988,0.176177,0.000128434,-0.00163057,-0.000252978,-0.00503882,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
57.0858,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0187027,-0.0338679,0.179651,0.000154655,-0.00186337,-0.000209235,-0.00517079,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
57.8401,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0207367,-0.0324503,0.183167,0.000180803,-0.00209722,-0.000167954,-0.00529151,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
58.4282,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0227734,-0.0310544,0.18681,0.000206831,-0.00233039,-0.000130514,-0.00543254,0,0.2,5,0,0,0.199622,4.99055,0.000284156,0.00473593,0,0,0
59.0889,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0227734,-0.0310544,0.18681,0.000206831,-0.00233039,-0.000130514,-0.00554398,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
59.726,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0247727,-0.0296958,0.190749,0.00023267,-0.00255979,-9.96785e-05,-0.005669,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
60.5794,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0247727,-0.0296958,0.190749,0.00023267,-0.00255979,-9.96785e-05,-0.00580866,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
61.382,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0267151,-0.028382,0.195056,0.000258278,-0.00278391,-7.66368e-05,-0.00595922,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
62.0921,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0286012,-0.0271122,0.199712,0.000283641,-0.00300276,-6.10726e-05,-0.00611941,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
62.856,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0304316,-0.0258857,0.204697,0.000308744,-0.00321637,-5.26759e-05,-0.00626002,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
63.5992,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0322069,-0.0247019,0.209991,0.000333574,-0.00342475,-5.11434e-05,-0.00641506,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
64.3192,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0322069,-0.0247019,0.209991,0.000333574,-0.00342475,-5.11434e-05,-0.00656757,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
65.145,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0339279,-0.0235601,0.215577,0.00035812,-0.00362793,-5.61782e-05,-0.00671827,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
65.8176,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0355952,-0.0224594,0.221436,0.00038237,-0.00382594,-6.74901e-05,-0.0068897,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
66.5083,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0372097,-0.0213992,0.22755,0.000406314,-0.00401881,-8.47954e-05,-0.00703304,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
67.1882,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0372097,-0.0213992,0.22755,0.000406314,-0.00401881,-8.47954e-05,-0.00718128,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
67.739,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0387719,-0.0203788,0.233903,0.000429941,-0.00420658,-0.000107817,-0.00732845,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
68.4371,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0387719,-0.0203788,0.233903,0.000429941,-0.00420658,-0.000107817,-0.00744801,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
69.1125,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0402975,-0.0194235,0.24029,0.000453243,-0.00438929,-0.000136284,-0.0076112,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
69.9209,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0418161,-0.0185837,0.246326,0.000478586,-0.00456454,-0.000167035,-0.00776278,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
70.6294,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0433414,-0.0178812,0.251833,0.000510608,-0.00472757,-0.000194147,-0.00793534,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
71.4173,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0433414,-0.0178812,0.251833,0.000510608,-0.00472757,-0.000194147,-0.00809656,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
72.1315,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0448715,-0.0173109,0.256829,0.000551362,-0.00487631,-0.000214855,-0.00827951,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
73.0059,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0464049,-0.0168674,0.26133,0.000600429,-0.00501124,-0.000229416,-0.00844519,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
73.8256,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0479399,-0.0165457,0.265354,0.0006574,-0.00513282,-0.000238084,-0.00865161,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
74.5544,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.049475,-0.0163409,0.268918,0.000721878,-0.00524152,-0.000241106,-0.00884441,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
75.3797,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.049475,-0.0163409,0.268918,0.000721878,-0.00524152,-0.000241106,-0.00901729,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
76.1136,-253.74,366.682,443.263,70.0188,-179.878,-108.577,0.0510086,-0.016248,0.272038,0.000793474,-0.0053378,-0.000238725,-0.00921836,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
